一个	یک (حرف تعریف نامعین)	yī gè
犹太族的	یهودی؛ جهود	yóu tài zú de
叮当声	جرنگ؛ جلنگ	dīng dāng shēng
押韵	جرنگ؛ جلنگ	yā yùn
工作	شغل	gōng zuò
零活	شغل	líng huó
赛马骑师	سوارکار؛ چابک سوار	sài mǎ qí shī
开玩笑的	شوخی آمیز	kāi wán xiào de
诙谐的	شوخی آمیز	huī xié de
连接处	مشترک	lián jiē chǔ
共同地	تواماً؛ مشاعا	gòng tóng de
连带地	تواماً؛ مشاعا	lián dài de
震摇	تکان؛ تلق تلق	zhèn yáo
摇动	تکان؛ تلق تلق	yáo dòng
琼斯	جونز	qióng sī
推挤	تنه زدن	tuī jǐ
杂志	مجله؛ جورنال	zá zhì
新闻业	روزنامه نگاری	xīn wén yè
报章杂志	روزنامه نگاری	bào zhāng zá zhì
记者	روزنامه‌نگار	jì zhě
旅程	سفر	lǚ chéng
旅行	سفر	lǚ xíng
颚骨	کله ماهی	è gǔ
下鄂的垂肉	کله ماهی	xià è de chuí ròu
欢喜	نشاط؛ شادی	huān xǐ
乐事	نشاط؛ شادی	lè shì
欢喜的	طربناک؛ پرنشاط	huān xǐ de
法官	قاضی؛ داور	fǎ guān
裁判员	قاضی؛ داور	cái pàn yuán
审判	داوری؛ دادرسی	shěn pàn
裁判	داوری؛ قضاوت	cái pàn
法庭的	قضایی	fǎ tíng de
司法的	وابسته بدادگاه؛ قوه قضائیه	sī fǎ de
法院的	وابسته بدادگاه؛ قوه قضائیه	fǎ yuàn de
头脑精明的	روشن رای	tóu nǎo jīng míng de
贤明的	روشن رای	xián míng de
水壶	غلغلک؛ بستو	shuǐ hú
汁	آبمیوه	zhī
活力	آبمیوه	huó lì
七月	جولای	qī yuè
搀杂	درهم آمیختگی	chān zá
混杂	درهم آمیختگی	hùn zá
跳动	پریدن، پرش	tiào dòng
跳跃者	جهنده؛ سیم جهشی	tiào yuè zhě
工作服	جهنده؛ سیم جهشی	gōng zuò fú
会合处	تقاطع	huì hé chù
交叉点	مقاطع	jiāo chā diǎn
六月	ژوئن	liù yuè
丛林	جنگل	cóng lín
杂乱的一堆	جنگل	zá luàn de yī duī
年少者	اصغر	nián shào zhě
地位较低者	اصغر	dì wèi jiào dī zhě
杜松属	اردج	dù sōng shǔ
司法权	حوزه قضایی	sī fǎ quán
审判权	حوزه قضایی	shěn pàn quán
法律学	فقه	fǎ lǜ xué
法律体系	فقه	fǎ lǜ tǐ xì
陪审团	هیئت منصفه	péi shěn tuán
评判委员会	هیئت منصفه	píng pàn wěi yuán huì
正直的	عادلانه، فقط؛ فقط، همین الان	zhèng zhí de
合理的	عادلانه، فقط؛ فقط، همین الان	hé lǐ de
正义	داد؛ عدل	zhèng yì
可辩解的	توجیه پذیر	kě biàn jiě de
可证明的	توجیه پذیر	kě zhèng míng de
证明正当	توجیه	zhèng míng zhèng dāng
替辩护	توجیه کردن	tì biàn hù
理由充分地	الحق؛ انصافاً	lǐ yóu chōng fèn de
堪萨斯州	کانزاس	kān sà sī zhōu
克什米尔	کشمیر	kè shí mǐ ěr
锋利的	تیز	fēng lì de
维持	نگه داشتن	wéi chí
肯塔基州	کنتاکی	kěn tǎ jī zhōu
围巾	چار قد	wéi jīn
茶壶	کتری	chá hú
钥匙	کلید، اصلی	yào shi
键	کلید، اصلی	jiàn
键孔	سوراخ کلید	jiàn kǒng
栓孔	سوراخ کلید	shuān kǒng
可汗	خان	kè hán
商队宿店	خان	shāng duì sù diàn
反冲	لگد؛ باپازدن	fǎn chōng
小山羊	بچه	xiǎo shān yáng
小孩	بچه	xiǎo hái
肾	کلیه	shèn
杀	کشتن	shā
小河	کشتن	xiǎo hé
杀人者	آدم کش	shā rén zhě
屠杀者	آدم کش	tú shā zhě
公里	کیلومتر	gōng lǐ
千米	کیلومتر	qiān mǐ
点燃	افروختن؛ گیراندن	diǎn rán
使着火	افروختن؛ گیراندن	shǐ zháo huǒ
运动引起的	جنبشی؛ وابسته بحرکت	yùn dòng yǐn qǐ de
国王	پادشاه	guó wáng
王国	پادشاهی	wáng guó
国王的	خسروانه؛ ملوکانه	guó wáng de
高贵的	خسروانه؛ ملوکانه	gāo guì de
亲属关系	خویشاوندی؛ قوم وخویشی	qīn shǔ guān xi
家族关系	خویشاوندی؛ قوم وخویشی	jiā zú guān xi
吻	ماچ؛ بوسه	wěn
工具箱	کیت	gōng jù xiāng
厨房	آشپزخانه	chú fáng
全套炊具	آشپزخانه	quán tào chuī jù
风筝	زغن؛ خوا	fēng zhēng
筝帆	زغن؛ خوا	zhēng fān
小猫	بچهگربه	xiǎo māo
淘气姑娘	بچهگربه	táo qì gū niang
全部赌注	بچهگربه	quán bù dǔ zhù
熟练技术	لم؛ صدای شلاق	shú liàn jì shù
巧妙手法	لم؛ صدای شلاق	qiǎo miào shǒu fǎ
背包	پشتواره؛ توشه دان	bēi bāo
膝	زانو	xī
丧钟声	صدایی زنگ	sāng zhōng shēng
哀伤的声音	صدایی زنگ	āi shāng de shēng yīn
小刀	چاقو	xiǎo dāo
爵士	شوالیه؛ نجیب زاده	jué shì
编织	بافتن؛ کشبافی کردن	biān zhī
瘤	دستگیره	liú
敲	کوبیدن، ضربه زدن	qiāo
圆丘	نوک تپه	yuán qiū
结	گره؛ عقده	jiē
多节的	گرهدار؛ گرهای	duō jiē de
有节的	گرهدار؛ گرهای	yǒu jié de
有结的	پرگره؛ گره گیر	yǒu jiē de
知道	دانستن	zhī dào
了解	دانستن	liǎo jiě
学问	دانش	xué wèn
蹄爪	قرحه روده	tí zhǎo
膝关节	قرحه روده	xī guān jié
克里姆林宫	کرملین	kè lǐ mǔ lín gōng
实验室	آزمایشگاه	shí yàn shì
研究室	آزمایشگاه	yán jiū shì
标签	برچسب؛ برچسب زدن	biāo qiān
劳动	کار؛ نیروی کار؛ زایمان	láo dòng
体力劳动者	عمله	tǐ lì láo dòng zhě
辅助工	عمله	fǔ zhù gōng
艰苦的	کارکن	jiān kǔ de
费劲的	کارکن	fèi jìn de
迷宫	لابیرنت	mí gōng
难解事物	لابیرنت	nán jiě shì wù
饰带	بند؛ توری	shì dài
花边	بند؛ توری	huā biān
划破	جرح	huá pò
割破	جرح	gē pò
无	عدم؛ عاری	wú
仆人	چاکری کردن	pú rén
侍从	چاکری کردن	shì cóng
分泌乳汁	شیر مکیدن	fēn mì rǔ zhī
授乳	شیر مکیدن	shòu rǔ
乳的	شیری؛ شبیه شیر	rǔ de
乳汁的	شیری؛ شبیه شیر	rǔ zhī de
青年	پسر جوان	qīng nián
梯	نردبان	tī
发迹的途径	نردبان	fā jì de tú jìng
装满的	سنگین بار؛ بارگیری شده	zhuāng mǎn de
负载的	سنگین بار؛ بارگیری شده	fù zài de
夫人	خانم	fū ren
落后	عقب مانده	luò hòu
兽窝	لانه؛ کنام	shòu wō
湖	دریاچه	hú
池	دریاچه	chí
小羊	بره؛ گوشت بره	xiǎo yáng
羔羊	بره؛ گوشت بره	gāo yáng
跛足的	شل؛ لنگ	bǒ zú de
僵痛的	شل؛ لنگ	jiāng tòng de
悲叹	زاریدن؛ نوحه کردن	bēi tàn
悔恨	زاریدن؛ نوحه کردن	huǐ hèn
可悲的	زار	kě bēi de
薄板	لایه نازک؛ شاخه پرده ای	báo bǎn
用薄片层压制成	متورق	yòng báo piàn céng yā zhì chéng
切成薄片	متورق	qiē chéng báo piàn
灯	لامپ	dēng
灯具	لامپ	dēng jù
长矛	نیزه؛ نشتر زدن	cháng máo
柳叶刀	نیزه؛ نشتر زدن	liǔ yè dāo
陆地	زمین؛ فرود آمدن	lù dì
地面	زمین؛ فرود آمدن	dì miàn
登陆	فرود	dēng lù
无土地的	بدون زمین	wú tǔ dì de
无土地所有权的	بدون زمین	wú tǔ dì suǒ yǒu quán de
房东	صاحبخانه	fáng dōng
地主	صاحبخانه	dì zhǔ
陆标	نشانه، بنای تاریخی	lù biāo
划时代的事	نشانه، بنای تاریخی	huà shí dài de shì
土地所有人	صاحب ملک	tǔ dì suǒ yǒu rén
风景	چشم انداز	fēng jǐng
山水	چشم انداز	shān shuǐ
语言	زبان	yǔ yán
文字	زبان	wén zì
疲倦的	بی حال	pí juàn de
羊毛脂	لانولین	yáng máo zhī
灯笼	فانوس؛ چراغ توری	dēng lóng
提灯	فانوس؛ چراغ توری	tí dēng
膝盖	دامان	xī gài
舔	دامان	tiǎn
流逝	زوال؛ خرف شدن	liú shì
丧失的	ساقط	sàng shī de
膝上型的	لپ‌تاپ	xī shàng xíng de
大量的	بزرگ	dà liàng de
大规模的	گسترده	dà guī mó de
大范围的	گسترده	dà fàn wéi de
云雀	غزلاغ	yún què
百灵鸟	غزلاغ	bǎi líng niǎo
喉头的	حنجری؛ حنجرهای	hóu tóu de
喉头治疗用的	حنجری؛ حنجرهای	hóu tóu zhì liáo yòng de
喉头	حنجره	hóu tóu
激光	لیزر	jī guāng
鞭子	شلاق؛ تازیانه	biān zi
鞭打	شلاق؛ تازیانه	biān dǎ
最后的	آخرین؛ آخرین (صفت)؛ طول کشیدن	zuì hòu de
末尾的	آخرین؛ آخرین (صفت)؛ طول کشیدن	mò wěi de
上闩	چفت؛ چفت کردن	shǎng shuān
迟的	دیر	chí de
晚的	دیر	wǎn de
近来	اخیراً	jìn lái
最近	اخیراً	zuì jìn
迟	تاخیر	chí
晚	تاخیر	wǎn
潜伏性的	نهفته	qián fú xìng de
随后	بعدا؛ دیرتر	suí hòu
侧部	جانبی؛ جناحی	cè bù
支线	جانبی؛ جناحی	zhī xiàn
车床	چرخ خراطی	chē chuáng
拉丁人	لاتین	lā dīng rén
拉丁语	لاتین	lā dīng yǔ
纬度	عرض	wěi dù
后者的	دومی	hòu zhě de
较后的	دومی	jiào hòu de
鸦片酊	مخلوط افیون	yā piàn dīng
鸦片酒	مخلوط افیون	yā piàn jiǔ
笑	خنده، خندیدن	xiào
下水	روانهسازی؛ روانه کردن	xià shuǐ
汽艇	روانهسازی؛ روانه کردن	qì tǐng
月桂树	دهمست؛ درخت غار	yuè guì shù
熔岩	گدازه	róng yán
火山岩	گدازه	huǒ shān yán
法律	قانون	fǎ lǜ
法则	قانون	fǎ zé
违反法律	قانون شکنی	wéi fǎn fǎ lǜ
法律许可的	مجاز؛ مشروع	fǎ lǜ xǔ kě de
守法的	مجاز؛ مشروع	shǒu fǎ de
非法的	بی قانونی	fēi fǎ de
不服从法律	بی قانونی	bù fú cóng fǎ lǜ
不受法律制约	بی قانونی	bù shòu fǎ lǜ zhì yuē
草地	چمن	cǎo dì
草坪	چمن	cǎo píng
诉讼	دعوی حقوقی	sù sòng
松的	شل؛ لمس	sōng de
不严格的	شل؛ لمس	bù yán gé de
松弛	لینت	sōng chí
不检点	لینت	bù jiǎn diǎn
层	طبقه؛ لا	céng
产卵鸡	طبقه؛ لا	chǎn luǎn jī
布局	طرح‌بندی	bù jú
怠惰	تنبلی؛ بیعاری	dài duò
无精打采	تنبلی؛ بیعاری	wú jīng dǎ cǎi
怠惰的	تنبل	dài duò de
引导	رهبری کردن	yǐn dǎo
铅	رهبری کردن	qiān
铅制的	سربی؛ مانند سرب	qiān zhì de
呆滞的	سربی؛ مانند سرب	dāi zhì de
领导能力	سری؛ رهبری	lǐng dǎo néng lì
领导阶层	سری؛ رهبری	lǐng dǎo jiē céng
叶	برگ؛ برگ دادن	xié
花瓣	برگ؛ برگ دادن	huā bàn
小叶	بروشور	xiǎo xié
传单	بروشور	chuán dān
叶茂盛的	برگدار؛ پر برگ	xié mào shèng de
多叶的	برگدار؛ پر برگ	duō yè de
漏洞	نشت، نشت کردن	lòu dòng
漏处	نشت، نشت کردن	lòu chǔ
漏	چکه؛ تراوش	lòu
瘦肉	وادادن؛ لخم	shòu ròu
剧增	جهش	jù zēng
学习	یاد گرفتن	xué xí
认识到	یاد گرفتن	rèn shi dào
学习者	یادگیرنده	xué xí zhě
初学者	یادگیرنده	chū xué zhě
学识	یادگیری	xué shí
租约	اجاره؛ اجاره کردن	zū yuē
租期	اجاره؛ اجاره کردن	zū qī
皮带	مرس؛ بند زدن	pí dài
最少	کمترین	zuì shǎo
最小	کمترین	zuì xiǎo
皮革	چرم؛ چرمی کردن	pí gé
皮制品	چرم؛ چرمی کردن	pí zhì pǐn
告别	ترک کردن	gào bié
谴责	سخنرانی، سخنرانی کردن	qiǎn zé
演讲者	مدرس؛ سخنران	yǎn jiǎng zhě
分类帐	دفتر کل	fēn lèi zhàng
分户总帐	دفتر کل	fēn hù zǒng zhàng
水蛭	علقه؛ زالو	shuǐ zhì
吸血鬼	علقه؛ زالو	xī xuè guǐ
左边	چپ، باقی مانده	zuǒ bian
腿	پا	tuǐ
路程	پا	lù chéng
祖先传下来之物	میراث	zǔ xiān chuán xià lai zhī wù
法律的	قانونی؛ مشروع	fǎ lǜ de
法定的	قانونی؛ مشروع	fǎ dìng de
传说	افسانه	chuán shuō
传奇文学	افسانه	chuán qí wén xué
传奇中说的	افسانه‌ای	chuán qí zhōng shuì de
有腿的	پایه دار؛ پا بلند	yǒu tuǐ de
护胫	پاتابه	hù jìng
护腿	پاتابه	hù tuǐ
军团	لژیون؛ سپاه رومی	jūn tuán
立法	قانون‌گذاری	lì fǎ
立法机构	قانون‌گذاری	lì fǎ jī gòu
立法的	قانون‌گذاری	lì fǎ de
立法者	شارع؛ مقنن	lì fǎ zhě
立法官	شارع؛ مقنن	lì fǎ guān
立法机关	قوه مقننه	lì fǎ jī guān
合法的	مشروع	hé fǎ de
正当的	مشروع	zhèng dāng de
空闲	فراغت؛ وقت کافی	kòng xián
闲暇	فراغت؛ وقت کافی	xián xiá
悠闲的	تفریحانه	yōu xián de
从容的	تفریحانه	cóng róng de
柠檬	لیمو	níng méng
柠檬水	لیموناد؛ شربت آبلیمو	níng méng shuǐ
贷款给	قرض دادن	dài kuǎn gěi
出借人	وام ده	chū jiè rén
贷方	وام ده	dài fāng
长度	درازی؛ طول	cháng dù
期间	درازی؛ طول	qī jiān
加长	دراز کردن؛ دراز شدن	jiā cháng
使延长	دراز کردن؛ دراز شدن	shǐ yán cháng
漫长的	طولانی	màn cháng de
宽大的	آسان گیر؛ ضد یبوست	kuān dà de
镜头	لنز	jìng tóu
麻疯病患者	جذامی	má fēng bìng huàn zhě
受蔑视的人	جذامی	shòu miè shì de rén
麻疯病	جذام؛ خوره	má fēng bìng
女同性恋的	لزبین	nǚ tóng xìng liàn de
女同性恋者	لزبین	nǚ tóng xìng liàn zhě
较少	کمتر	jiào shǎo
较小	کمتر	jiào xiǎo
较少的	کمتر	jiào shǎo de
较小的	کمتر	jiào xiǎo de
课	درس	kè
教训	درس	jiào xun
让	اجازه دادن	ràng
致死因子	کشنده	zhì sǐ yīn zǐ
昏睡	تهاون؛ سبات	hūn shuì
瞌睡	تهاون؛ سبات	kē shuì
信	نامه	xìn
早朝	بارعام دادن؛ سلام عام	zǎo cháo
大堤	بارعام دادن؛ سلام عام	dà dī
水平	سطح	shuǐ píng
级别	سطح	jí bié
轻浮	سبک سری	qīng fú
税款	مالیات بندی؛ نام نویسی	shuì kuǎn
所征的人数	مالیات بندی؛ نام نویسی	suǒ zhēng de rén shù
字典的	لغوی	zì diǎn de
词汇的	لغوی	cí huì de
有义务的	مسئول	yǒu yì wù de
应负责的	مسئول	yìng fù zé de
说谎者	دروغگو؛ چاخان	shuō huǎng zhě
自由主义者	آزاداندیش	zì yóu zhǔ yì zhě
自由主义	آزادمنشی؛ آزادگی	zì yóu zhǔ yì
解放的	آزادشده	jiě fàng de
解放者	آزاد کننده؛ نجات دهنده	jiě fàng zhě
释放者	آزاد کننده؛ نجات دهنده	shì fàng zhě
图书馆员	کتابدار	tú shū guǎn yuán
图书管理员	کتابدار	tú shū guǎn lǐ yuán
图书馆	کتابخانه	tú shū guǎn
藏书	کتابخانه	cáng shū
许可证	مجوز؛ پروانه دادن	xǔ kě zhèng
青苔	گل سنگ	qīng tái
地衣	گل سنگ	dì yī
少许	لیس؛ لیسه	shǎo xǔ
躺	دراز کشیدن	tǎng
说谎	دراز کشیدن	shuō huǎng
中尉	ستوان	zhōng wèi
助理人员	ستوان	zhù lǐ rén yuán
生活	زندگی	shēng huó
生命	زندگی	shēng mìng
无生命的	خشک؛ موات	wú shēng mìng de
无趣味的	خشک؛ موات	wú qù wèi de
终身的	مادام‌العمر	zhōng shēn de
毕生的	مادام‌العمر	bì shēng de
生活方式	سبک زندگی	shēng huó fāng shì
一生	طول عمر	yī shēng
终生	طول عمر	zhōng shēng
结带	بندیزه	jiē dài
纽带	بندیزه	niǔ dài
光	روشن کردن؛ سبک؛ نور، روشن	guāng
轻的	روشن کردن؛ سبک؛ نور، روشن	qīng de
照亮	سبک کردن؛ تنویر کردن	zhào liàng
点亮	سبک کردن؛ تنویر کردن	diǎn liàng
舞台灯光	نورپردازی	wǔ tái dēng guāng
光亮度	خفت؛ سبکی	guāng liàng dù
浅淡	خفت؛ سبکی	qiǎn dàn
闪电	صاعقه؛ آذرخش	shǎn diàn
可能	احتمال	kě néng
有可能的	احتمالی	yǒu kě néng de
把比作	مشبه	bǎ bǐ zuò
相象	سان؛ مثال	xiāng xiàng
相似物	سان؛ مثال	xiāng sì wù
丁香	یاس شیروانی	dīng xiāng
淡紫色	یاس شیروانی	dàn zǐ sè
百合	سوسنی؛ گلایل	bǎi hé
洁白的	سوسنی؛ گلایل	jié bái de
四肢	اندام	sì zhī
枝干	اندام	zhī gān
有肢体的	عضودار	yǒu zhī tǐ de
地狱边缘	برزخ	dì yù biān yuán
石灰	آهک؛ سنگ آهک	shí huī
粘鸟胶	آهک؛ سنگ آهک	nián diǎo jiāo
石灰石	سنگ آهک	shí huī shí
石灰岩	سنگ آهک	shí huī yán
界限	حساب؛ حد	jiè xiàn
缺陷	محدودیت	quē xiàn
有限制的	محدود؛ منحصر	yǒu xiàn zhì de
无界限的	بیحد؛ بی نهایت	wú jiè xiàn de
跛行	شلیدن؛ لنگیدن	bǒ háng
柔软的	شلیدن؛ لنگیدن	róu ruǎn de
林肯	لینکلن	lín kěn
线	خط	xiàn
行	خط	háng
血统	سویه؛ اصل ونسب	xuè tǒng
直系	سویه؛ اصل ونسب	zhí xì
线的	خطی	xiàn de
线状的	خطی	xiàn zhuàng de
亚麻布	کتانی؛ کتان	yà má bù
亚麻线	کتانی؛ کتان	yà má xiàn
一排人	صف‌آرایی، ترکیب	yī pái rén
一组人	صف‌آرایی، ترکیب	yī zǔ rén
逗留	معطل ماندن	dòu liú
消磨	معطل ماندن	xiāo mó
环	پیوند، پیوند دادن	huán
连结物	پیوند، پیوند دادن	lián jié wù
油地毡	مشمع	yóu de zhān
漆布	مشمع	qī bù
亚麻籽	بزرک؛ برزگ	yà má zǐ
亚麻子	بزرک؛ برزگ	yà má zǐ
狮子	شیر	shī zǐ
唇	لب	chún
口缘	لب	kǒu yuán
液化	آبگونسازی	yè huà
流体	مایع؛ ماچی	liú tǐ
咬着舌说	شلی زبان	yǎo zhāo shé shuì
口齿不清	شلی زبان	kǒu chǐ bù qīng
名单	فهرست، فهرست کردن	míng dān
收听者	شنونده	shōu tīng zhě
双耕犁	سجاف دوز	shuāng gēng lí
制表人	سجاف دوز	zhì biǎo rén
列表	فهرست‌بندی	liè biǎo
清单	فهرست‌بندی	qīng dān
读写能力	سواد	dú xiě néng lì
识字	سواد	shí zì
逐字的	حرفی؛ لفظی	zhú zì de
字面上的	حرفی؛ لفظی	zì miàn shǎng de
逐字地	به معنای واقعی کلمه	zhú zì de
按照字面上地	به معنای واقعی کلمه	àn zhào zì miàn shǎng de
文学的	ادبی	wén xué de
文艺的	ادبی	wén yì de
学者	باسواد	xué zhě
有读写能力的	باسواد	yǒu dú xiě néng lì de
文学	ادبیات؛ ادب وهنر	wén xué
文艺	ادبیات؛ ادب وهنر	wén yì
立陶宛	لیتوانی	lì táo wǎn
升	لیتر	shēng
垃圾	آشغال	lā jī
一点点	کمی (قید)؛ کمی، کوچک	yī diǎn diǎn
活的	زندگی کردن	huó de
营生	معیشت؛ عقل معاش	yíng shēng
鲜明的	باروح؛ سبکروح	xiān míng de
肝脏	کبد	gān zàng
生活者	کبد	shēng huó zhě
穿制服的	در کسوت	chuān zhì fú de
穿号衣的	در کسوت	chuān hào yī de
利物浦	لیورپول	lì wù pǔ
制服	لباس مستخدم؛ علیق اسب	zhì fú
铁青的	کبود شده	tiě qīng de
青紫的	کبود شده	qīng zǐ de
负荷	بار؛ محمول	fù hè
担子	بار؛ محمول	dàn zi
装载	بارگیری؛ بارکنش	zhuāng zài
装填	بارگیری؛ بارکنش	zhuāng tián
一条面包	تکه؛ ولگردی کردن	yī tiáo miàn bāo
懒人	بیکاره	lǎn rén
借出	عاریه؛ وام	jiè chū
大厅	لابی، لابی کردن	dà tīng
休息室	لابی، لابی کردن	xiū xī shì
龙虾	خرچنگ	lóng xiā
地方性的	محلی	dì fāng xìng de
当地的	محلی	dāng dì de
所在	محل خاص	suǒ zài
处于	ساکن	chǔ yú
位于	ساکن	wèi yú
位置	محل	wèi zhi
场所	محل	chǎng suǒ
锁	قفل، قفل کردن	suǒ
关门时间	زندانکردن	guān mén shí jiān
拘留所	زندانکردن	jū liú suǒ
移动	نقل وانتقال	yí dòng
火车头	لکوموتیو؛ نیروی محرکه	huǒ chē tóu
机车	لکوموتیو؛ نیروی محرکه	jī chē
移动的	حرکتی؛ نقص تحرک	yí dòng de
轨迹	مکان هندسی	guǐ jì
地点	مکان هندسی	dì diǎn
门房	بیتوته کردن؛ ماوا دادن	mén fáng
寄宿处	منزل گاه؛ محل سکونت	jì sù chǔ
提起	منزل گاه؛ محل سکونت	tí qǐ
高的	سنی؛ منیع	gāo de
记录	گزارش، ثبت کردن	jì lù
圆木	گزارش، ثبت کردن	yuán mù
逻辑	منطق	luó ji
推理的方法	منطق	tuī lǐ de fāng fǎ
合乎逻辑的	منطقی	hé hū luó ji de
连合活字	لوگو	lián hé huó zì
腰部	گرد	yāo bù
腰肉	گرد	yāo ròu
游荡	پرسه زنی	yóu dàng
伦敦	لندن	lún dūn
孤单的	مجزا ومنفرد	gū dān de
寂寞	تنهایی؛ غریبی	jì mò
孤独	تنهایی؛ غریبی	gū dú
孤寂的	غریب؛ تنها	gū jì de
长的	بلند، طولانی	cháng de
长久的	بلند، طولانی	cháng jiǔ de
经度的	طولی	jīng dù de
经线的	طولی	jīng xiàn de
长期存在的	دیرینه	cháng qī cún zài de
长时间的	طولانی‌مدت	cháng shí jiān de
历久的	طولانی‌مدت	lì jiǔ de
一看	نگاه؛ نگاه کردن	yī kān
神色	نگاه؛ نگاه کردن	shén sè
前途	چشم انداز	qián tú
织布机	در افق پدیدار شدن	zhī bù jī
若隐若现的景象	در افق پدیدار شدن	ruò yǐn ruò xiàn de jǐng xiàng
圈	حلقه	juān
枪眼	مزغل ساختن؛ سوراخ سنگر	qiāng yǎn
小窗	مزغل ساختن؛ سوراخ سنگر	xiǎo chuāng
放任	گشاد؛ شل	fàng rèn
松弛地	باشلی	sōng chí de
宽松地	باشلی	kuān sōng de
赃物	غارت کردن	zāng wù
洗劫	غارت کردن	xǐ jié
大步慢跑	وخیز درآوردن	dà bù màn pǎo
统治者	ارباب؛ خداوند	tǒng zhì zhě
贵族身分	اربابی؛ سیادت	guì zú shēn fèn
主权	اربابی؛ سیادت	zhǔ quán
眼光	فرهنگ نژادی؛ وروایات قومی	yǎn guāng
长柄眼镜	عینک پنسی	cháng bǐng yǎn jìng
有柄眼镜	عینک پنسی	yǒu bǐng yǎn jìng
卡车	کامیون	kǎ chē
货车	کامیون	huò chē
遗失	از دست دادن	yí shī
损失	از دست دادن	sǔn shī
失去的	گمشده	shī qù de
遗失的	گمشده	yí shī de
签	مقدار زیادی	qiān
洗液	کرم؛ لوسیون	xǐ yè
洗剂	کرم؛ لوسیون	xǐ jì
奖券	قرعه کشی	jiǎng quàn
彩票	قرعه کشی	cǎi piào
大声的	بلند (صدا)	dà shēng de
高声地	با صدای بلند	gāo shēng de
大声地	با صدای بلند	dà shēng de
闲逛	اطاق استراحت؛ سالن استراحت	xián guàng
休闲室	اطاق استراحت؛ سالن استراحت	xiū xián shì
虱子	شپش؛ جو جو	shī zi
寄生虫	شپش؛ جو جو	jì shēng chóng
蠢人	الدنگ؛ سرفرود آوردن	chǔn rén
愚弄	الدنگ؛ سرفرود آوردن	yú nòng
爱	عشق، عاشق بودن	ài
爱人	یار؛ عاشق	ài ren
钟情的	عاشقانه؛ مشتاق	zhōng qíng de
钟爱地	مشتاقانه	zhōng ài de
低点	پایین	dī diǎn
低价	پایین	dī jià
忠贞	وفاداری	zhōng zhēn
忠诚	وفاداری	zhōng chéng
菱形	لوزی؛ شکل لوزی	líng xíng
锭剂	لوزی؛ شکل لوزی	dìng jì
润滑的	روغن؛ چرب کننده	rùn huá de
润滑物	روغن؛ چرب کننده	rùn huá wù
吉祥的	خوش شانس	jí xiáng de
有利益的	پرمنفعت	yǒu lì yì de
获利的	پرمنفعت	huò lì de
皮箱	توشه؛ بنه	pí xiāng
腰的	مهره کمر؛ ناحیه کمر	yāo de
腰部的	مهره کمر؛ ناحیه کمر	yāo bù de
木材	الوار؛ تیر بریده	mù cái
破旧家俱	الوار؛ تیر بریده	pò jiù jiā jù
发光的	تابان؛ شب نما	fā guāng de
精神失常者	مجانین	jīng shén shī cháng zhě
精神病人	مجانین	jīng shén bìng rén
午餐	ناهار	wǔ cān
午宴	غذای مفصل	wǔ yàn
午餐会	غذای مفصل	wǔ cān huì
肺	ریه؛ جگر سفید	fèi
空地	ریه؛ جگر سفید	kōng dì
火烧似的	شعله تیره؛ شعله دودنما	huǒ shāo shì de
苍白的	شعله تیره؛ شعله دودنما	cāng bái de
豪华的	مجلل؛ تجملی	háo huá de
豪华	عیش؛ تجمل	háo huá
横躺的	دروغگو؛ کذاب	héng tǎng de
淋巴	لنف	lín bā
浆	لنف	jiāng
淋巴的	بلغمی؛ لنفاوی	lín bā de
淋巴性的	بلغمی؛ لنفاوی	lín bā xìng de
私刑	مثله کردن	sī xíng
私罚	مثله کردن	sī fá
抒情诗	متن ترانه	shū qíng shī
歌词	متن ترانه	gē cí
抒情诗调的	بزمی؛ غنایی	shū qíng shī diào de
有抒情味的	بزمی؛ غنایی	yǒu shū qíng wèi de
机器	ماشین	jī qì
机械装置	ماشین	jī xiè zhuāng zhì
雨衣	پارچه بارانی	yǔ yī
防水布	پارچه بارانی	fáng shuǐ bù
发疯的	شوریده؛ دیوانه وار	fā fēng de
女士	مادام	nǚ shì
小姐	دوشیزه؛ مادموازل	xiǎo jie
发狂地	دیوانه وار	fā kuáng de
精神失常地	دیوانه وار	jīng shén shī cháng de
愚蠢的行为	شوریدگی؛ شیدائی	yú chǔn de xíng wéi
马德里	مادرید	mǎ dé lǐ
仓库	مجله	cāng kù
魔术	طلسم؛ سحر	mó shù
魔法	طلسم؛ سحر	mó fǎ
魔术的	جادویی	mó shù de
有魔力的	جادویی	yǒu mó lì de
魔术家	مغ؛ ساحر	mó shù jiā
幻术家	مغ؛ ساحر	huàn shù jiā
镁	تباشیر؛ منیری	měi
磁铁	مغناطیس؛ مقناطیس	cí tiě
有吸引力之人	مغناطیس؛ مقناطیس	yǒu xī yǐn lì zhī rén
有磁性的	مغناطیسی	yǒu cí xìng de
放大的	درشت نمایی	fàng dà de
巨大	بزرگی	jù dà
重大	بزرگی	zhòng dà
木兰	ماگنولیا	mù lán
浅桃红色	ماگنولیا	jiān táo hóng sè
未婚女子	خادمه؛ ندیمه	wèi hūn nǚ zǐ
年轻未婚女子	دختر باکره	nián qīng wèi hūn nǚ zǐ
邮件	پست، پست کردن	yóu jiàn
邮政	پست، پست کردن	yóu zhèng
使残废	چلاق کردن؛ نقص عضو	shǐ cán fèi
