एक	یک (حرف تعریف نامعین)	ek
न सुलझने वाला	نگشودنی	n sulajhane vaalaa
कुख्यात	بدنام	kukhyaat
दुष्टता	سابقهبد؛ بدنامی	dushtataa
शैशव	طفولیت؛ صغارت	shaishav
बचकाना	کودکانه	bachakaanaa
शिशु संबंधी	کودکانه	shishu sanbandhii
पैदल सेना	پیاده؛ پیاده نظام	paidal senaa
संक्रमण	عفونت	sankraman
औपसर्गिक	عفونی؛ فاسد کننده	aupasargik
रोगजनक	عفونت زا؛ گند زا	rogajanak
अनुमान करना	استنتاج کردن	anumaan karanaa
निष्कष	استنباط	nishkash
हीनता	پستی؛ مادونی	hiinataa
खिझाने वाला	دوزخی	khijhaane vaalaa
असमापिका	لایتناهی؛ نامتناهی	asamaapikaa
अति सूक्ष्म	بینهایت کوچک	ati suukshm
अत्यंत सूक्ष्म	بینهایت کوچک	atyant suukshm
दौर्बल्य	علیلی؛ نا توانی	daurbaly
ज्वलनशील	آتشگیر؛ شعله ور	jvalanashiil
शत्रुता	آماس؛ ورم	shatrutaa
प्रज्वलन	آماس؛ ورم	prajvalan
विद्रोहात्मक	ورمی؛ آماسی	vidrohaatmak
गर्वशील	هوادار؛ بادآورده	garvashiil
बढ़ा हुआ	هوادار؛ بادآورده	barhaa huaa
फुलाव	تورم	phulaav
मंहगाई	تورم	manhagaaii
अंतर्वाह	جریان بداخل	antarvaah
दबदबेवाला	بانفوذ	dabadabevaalaa
इन्फ़्लुएन्ज़ा	آنفلوانزا؛ آنفلوآنزا	influenzaa
भारी नज़ला	آنفلوانزا؛ آنفلوآنزا	bhaarii nazalaa
अनौपचारिक	غیر رسمی	anaupachaarik
अनौपचारिक रूप से	به‌طور غیر رسمی	anaupachaarik ruup se
सूचनादाता	آگاهگر؛ شکل دهنده	suuchanaadaataa
सूचना दाता	نمام؛ سخنچین	suuchanaa daataa
आधारिक संरचना	زیرساخت	aadhaarik sanrachanaa
आधारभूत संरचना	زیرساخت	aadhaarabhuut sanrachanaa
पटुता	دهاء	patutaa
विदग्धता	دهاء	vidagdhataa
खिलाना	درهیختن؛ داخل معده کردن	khilaanaa
अंतर्ग्रहण	درهنج؛ فرو بری	antargrahan
अनुग्रह प्राप्त करना	خود شیرینی کردن	anugrah praapt karanaa
संघटक	جزء؛ جزء ترکیبی	sanghatak
बसना	مسکون کردن؛ مسکن گزیدن	basanaa
साँस खींचना	استنشاق کردن؛ استشمام کردن	saans khiinchanaa
अन्तर्निहित	ذاتی	antarnihit
सहज रूप से	ذاتاً؛ به‌طور ذاتی	sahaj ruup se
उत्तराधिकार में पाना	به ارث بردن	uttaraadhikaar men paanaa
उत्तराधिकार	ارث؛ میراث	uttaraadhikaar
निर्दय	نامردم؛ غیر انسانی	nirday
निर्दयता	نامردمی؛ غیرانسانی بودن	nirdayataa
प्रारम्भिक	ابتدایی؛ آغازی	praarambhik
शुरू में	ابتدا	shuruu men
आरम्भ करना	آغاز کردن	aarambh karanaa
भर देना	تزریق کردن	bhar denaa
इंजेक्शन	تزریق	injekshan
अंतःक्षेप	تزریق	antahkshep
घायल करना	ناقص کردن؛ مجروح کردن	ghaayal karanaa
घाव	جراحت	ghaav
अन्याय	بی‌عدالتی	anyaay
जफा	بی‌عدالتی	japhaa
स्याही	جوهر	syaahii
मसि	جوهر	masi
अंदर	درون کشور؛ درون مرزی	andar
अंतःस्थलीय	درون کشور؛ درون مرزی	antahsthaliiy
सराय	رباط؛ سرای	saraay
अंतरांग	قسمتهای داخلی	antaraang
यंत्र का भीतरी भाग	قسمتهای داخلی	yantr kaa bhiitarii bhaag
गोपनीय	داخله؛ باطنی	gopaniiy
अंतर्तम	داخلی ترین	antartam
केंद्र के समीपस्थ	داخلی ترین	kendr ke samiipasth
सराय वाला	صاحب مسافرخانه	saraay vaalaa
निर्मलता	برائت؛ معصومیت	nirmalataa
निष्कपटता	برائت؛ معصومیت	nishkapatataa
नवीनीकरण	نوآوری	naviiniikaran
नवीनता	نوآوری	naviinataa
नवीन	نوآورانه	naviin
अभिनव	نوآورانه	abhinav
अमित	غیرقابل شمارش	amit
टीका	تلقیح؛ مایه کوبی	tiikaa
जिसका शल्य चिकित्सा न हो सके	غیردایر؛ عملناپذیر	jisakaa shaly chikitsaa n ho sake
अक्रिय	غیردایر؛ نادایر	akriy
अप्रवृत	غیردایر؛ نادایر	apravrit
असामयिक	نابجا؛ نابهنگام	asaamayik
असमयोचित	نابجا؛ نابهنگام	asamayochit
निवेश	ورودی	nivesh
जिज्ञासु	استخبار	jigyaasu
प्रश्नमय	استخبار	prashnamay
सर्वेक्षण	سراغ؛ جستار	sarvekshan
उत्सुकतापूर्ण	کنجکاو	utsukataapuurn
जुनून	جنون؛ دیوانگی	junuun
छापना	محاط کردن؛ حکاکی کردن	chhaapanaa
उत्किर्ण करना	محاط کردن؛ حکاکی کردن	utkirn karanaa
अभिलेख	ثبت؛ کتابت	abhilekh
शिलालेख	ثبت؛ کتابت	shilaalekh
गूढ	نفوذ ناپذیر	guudh
कीट	حشره	kiit
असुरक्षित	غیرمحفوظ؛ ناامن	asurakshit
आशंकित	غیرمحفوظ؛ ناامن	aashankit
असुरक्षा	تزلزل	asurakshaa
असुरक्षा की भावना	تزلزل	asurakshaa kii bhaavanaa
असंवेदनशील	غیرمحسوس؛ غیر حساس	asanvedanashiil
संवेदनाशून्य	لایعقل؛ بی غیرت	sanvedanaashuuny
अभिन्न	لاینفک	abhinn
प्रविष्ट करना	وارد کردن	pravisht karanaa
निवेशन	درج	niveshan
अन्त	درج	ant
के अन्दर	داخل، درون	ke andar
अंतरंग	خودی	antarang
घनिष्ठ व्यक्ति	خودی	ghanishth vyakti
अन्तर्दृष्टि	فراست؛ بصیرت	antardrishti
अंत्ःदृर्टि पूर्ण विचार	فراست؛ بصیرت	anthdrirti puurn vichaar
पदचिह्न	آرم؛ نشان رسمی	padachihn
प्रतीक चिह्न	آرم؛ نشان رسمی	pratiik chihn
महत्वहीनता	ناقابلی؛ ناچیزی	mahatvahiinataa
असार्थकता	ناقابلی؛ ناچیزی	asaarthakataa
मामूली	ناچیز؛ خفیف	maamuulii
निष्ठाहीन	بدونصمیمیت؛ بی صداقت	nishthaahiin
इशारा करना	ریشخند کننده	ishaaraa karanaa
धीरे धीरे उकसाना	ریشخند کننده	dhiire dhiire ukasaanaa
माँगना	ابرام کردن؛ سماجت کردن	maanganaa
अड़े रहना	ابرام کردن؛ سماجت کردن	are rahanaa
आग्रह	ابرام؛ سماجت	aagrah
हठपूर्ण	مصرانه؛ پافشار	hathapuurn
धृष्टता	جسارت؛ وقاحت	dhrishtataa
अक्खड़पन	جسارت؛ وقاحت	akkharapan
अघुलनशील	غیر محلول	aghulanashiil
समाधानहीन	غیر محلول	samaadhaanahiin
निद्राभाव	بیخوابی؛ بدخوابی	nidraabhaav
अल्पनिंद्रा	بیخوابی؛ بدخوابی	alpanindraa
निरीक्षण करना	بازرسی کردن	niriikshan karanaa
निरीक्षण	بازرسی	niriikshan
निरीक्षक	بازرس	niriikshak
दरोग़ा	بازرس	daroghaa
उत्प्रेरणा	الهام	utpreranaa
बैठाना	نصب کردن؛ کار گذاشتن	baithaanaa
नियुक्ति	نصب	niyukti
प्रतिष्ठापन	نصب	pratishthaapan
किस्त	قسط؛ علیالحساب	kist
अवस्था	وهله	avasthaa
घटना	وهله	ghatanaa
क्षण	فوری	kshan
बजाय	به جای	bajaay
बदल में	به جای	badal men
संस्थान	بنداد؛ انستیتو	sansthaan
संस्था भवन	بنداد؛ انستیتو	sansthaa bhavan
समाज	بنگاه؛ موسسه	samaaj
संस्थागत	نهادی	sansthaagat
संस्थानिक	نهادی	sansthaanik
उपदेशक	مربی	upadeshak
अनुदेशक	مربی	anudeshak
वाद्य संगीत	موثر	vaady sangiit
विद्रोहशीलता	نافرمانی؛ سر پیچی	vidrohashiilataa / anaadar / avagyaa
अनादर/अवज्ञा	نافرمانی؛ سر پیچی	vidrohashiilataa / anaadar / avagyaa
संकीर्णहृदय	جزیرهای؛ غیر آزاد	sankiirnahriday
रोधक	عایق	rodhak
बेइज़्ज़ती	توهین	beizzatii
बीमा	بیمه	biimaa
दिलाना	بیمه کردن؛ بیمه بدست آوردن	dilaanaa
विद्रोह	یاغی گری	vidroh
अक्षत	دست نخورده	akshat
अखण्ड	دست نخورده	akhand
ग्राह्यता	مصرف	graahyataa
अस्पर्शी	لمس ناپذیر؛ درک نکردنی	asparshii
संपूर्ण	جدایی ناپذیر	sanpuurn
समाहित करना	یکپارچه کردن	samaahit karanaa
समाकलित	یکپارچه	samaakalit
एकीकरण	یکپارچگی	ekiikaran
समाकलन	یکپارچگی	samaakalan
प्रज्ञा	خرد؛ عقل	pragyaa
मति	خرد؛ عقل	mati
बुद्धिगत	روشنفکر؛ فکری	buddhigat
प्रज्ञावान	روشنفکر؛ فکری	pragyaavaan
बुद्धिमान	باهوش	buddhimaan
तरसेम	باهوش	tarasem
बोधनीय	مفهوم؛ قابل فهم	bodhaniiy
समझ में आने लायक	مفهوم؛ قابل فهم	samajh men aane laayak
प्रबलता	شدت	prabalataa
सुविचारित	عمدی؛ تعمدی	suvichaarit
इरादतन	عمدا؛ تعمدا	iraadatan
जानबूझा कर	عمدا؛ تعمدا	jaanabuujhaa kar
गाड़ना{लाश}	مدفون ساختن	gaaranaa{laash}
बातचीत करना	تعامل داشتن	baatachiit karanaa
एक दूसरे को प्रभावित करना	تعامل داشتن	ek duusare ko prabhaavit karanaa
पारस्परिक प्रभाव	تعامل	paarasparik prabhaav
पारस्परिक क्रिया	تعامل	paarasparik kriyaa
पारस्परिक	تعاملی	paarasparik
इंटरैक्टिव	تعاملی	intaraiktiv
मध्यस्थता करना	شفاعت کردن؛ پادر میانی کردن	madhyasthataa karanaa
अंतराकोशिक	بین یاختهای؛ داخل سلولی	antaraakoshik
मोड़	متناوب ساختن؛ جا بجا	mor
इंटरचेंज	متناوب ساختن؛ جا بجا	intarachenj
संभोग	آمیزش؛ مقاربت	sanbhog
सम्भोग	آمیزش؛ مقاربت	sambhog
अंतरवर्ती	مداخله کننده	antaravartii
बीच में होने वाला	مداخله کننده	biich men hone vaalaa
ब्याज	علاقه، علاقه مند کردن	byaaj
रुचि रखनेवाला	علاقه‌مند	ruchi rakhanevaalaa
संबद्ध	علاقه‌مند	sanbaddh
इंटरफ़ेस	رابط	intarafes
अंतरापृष्ठ	رابط	antaraaprishth
दखल देना	دخالت کردن	dakhal denaa
छेड़खानी	دخالت	chherakhaanii
अल्पकालीन	موقت	alpakaaliin
अंतरिम	موقت	antarim
वार्तालापी	هم سخن؛ طرف صحبت	vaartaalaapii
मध्यस्थ	مداخله کننده؛ وساطت کننده	madhyasth
अंतःस्थ	متوسط	antahsth
अनंतकालीन	پایان ناپذیر؛ تمام نشدنی	anantakaaliin
आंतरायिक	نوبتی؛ نوبت دار	aantaraayik
बीच बीच में होने वाला	نوبتی؛ نوبت دار	biich biich men hone vaalaa
अन्तर्राष्ट्रीय	بین‌المللی	antarraashtriiy
अंतःराष्ट्रीय	بین‌المللی	antahraashtriiy
इंटरनेट	اینترنت	intaranet
अन्तरजाल	اینترنت	antarajaal
अदा करना	ترجمه کردن؛ تعبیر کردن	adaa karanaa
अनुवादक	مترجم؛ حلاج	anuvaadak
दुभाषिया	مترجم؛ حلاج	dubhaashiyaa
परस्पर काटना	تقاطع کردن؛ از هم گذشتن	paraspar kaatanaa
एक दूसरे को काटना	تقاطع کردن؛ از هم گذشتن	ek duusare ko kaatanaa
अन्तर्राज्यीय	بین ایالتی	antarraajyiiy
अंतर्राज्यीय	بین ایالتی	antarraajyiiy
हस्तक्षेप करना	مداخله کردن	hastakshep karanaa
बीच मेँ आना	مداخله کردن	biich men aanaa
हस्तक्षेप	مداخله	hastakshep
मध्यवर्त	مداخله	madhyavart
भेँट	مصاحبه، مصاحبه کردن	bhent
आँत संबंधी	رودهای	aant sanbandhii
आँत संबन्धी	رودهای	aant sanbandhii
आँत	روده؛ معاء	aant
अँतड़ी	روده؛ معاء	antarii
घनिष्ठता	صمیمیت؛ محرمیت	ghanishthataa
आत्मीयता	صمیمیت؛ محرمیت	aatmiiyataa
परिचित रूप से	صمیمانه	parichit ruup se
परिचित रूप से.	صمیمانه	parichit ruup se.
धमकाना	مرعوب کردن؛ ارعاب کردن	dhamakaanaa
धमकी	ارعاب؛ ترهیب	dhamakii
अभित्रास	ارعاب؛ ترهیب	abhitraas
अंदर को	به داخل	andar ko
गुणित करने पर	به داخل	gunit karane par
असह्य	تحمل ناپذیر؛ طاقت فرسا	asahy
असहनीय	تحمل ناپذیر؛ طاقت فرسا	asahaniiy
सुर	تکیه صدا	sur
स्वरोच्चारण	تکیه صدا	svarochchaaran
अतिपायी	سرمست؛ بدمست	atipaayii
नशीली	سکرآور	nashiilii
मादक	سکرآور	maadak
मद	مستی؛ نشئه	mad
निर्भय	صارم	nirbhay
पेच	بغرنجی؛ ریزه کاری	pech
कुतूहल	دوز و کلک زدن؛ دوز و کلک چیدن	kutuuhal
लुभावना	جذاب	lubhaavanaa
पहेलीनुमा	جذاب	paheliinumaa
मूलभूत	فطری	muulabhuut
भूमिका	مقدمه	bhuumikaa
आत्मनिरीक्षण करना	بخود آمدن؛ بخود برگشتن	aatmaniriikshan karanaa
घुसना	پادرازی کردن؛ فضولانه آمدن	ghusanaa
घुसपैठिया	مو؛ فضول	ghusapaithiyaa
अनामंत्रित प्रवेश करने वाला	مو؛ فضول	anaamantrit pravesh karane vaalaa
पैठ	دخالت؛ پادرازی	paith
पँगा	دخالت؛ پادرازی	pangaa
अंतर्बोध	فراست؛ بصیرت	antarbodh
अन्तर्ज्ञान	فراست؛ بصیرت	antargyaan
आक्रमण करना	حمله کردن	aakraman karanaa
घुस जाना	حمله کردن	ghus jaanaa
अमान्य	علیل؛ نامعتبر	amaany
अमूल्य	پر بها؛ غیرقابل تخمین	amuuly
सदा एक सा	نامغیر؛ نامتغیر	sadaa ek saa
गढना	اختراع کردن	gadhanaa
आविष्कारक	موجد؛ جاعل	aavishkaarak
प्रतिलोम	معکوس؛ وارون	pratilom
उलटाव	برگشتگی؛ تقلیب	ulataav
उलट देना	برگشته؛ نگون	ulat denaa
उलटा करना	برگشته؛ نگون	ulataa karanaa
जांचना	پژوهیدن؛ تحقیق کردن	jaanchanaa
अन्वेषण	تحقیق؛ رسیدگی	anveshan
जाँच कर्ता	بازپرس	jaanch kartaa
निवेशक	سرمایه گذار	niveshak
धन लगाना	سرمایه گذار	dhan lagaanaa
अपराजेयता	شکست ناپذیری	aparaajeyataa
अजेय	شکست ناپذیر؛ مغلوب نشدنی	ajey
अजय	شکست ناپذیر؛ مغلوب نشدنی	ajay
अलङ्घ्य	غصب نکردنی	alangghy
अलंघनीय	غصب نکردنی	alanghaniiy
अनुल्लंघनीय	غصب نشدنی	anullanghaniiy
उपहार	دعوتنامه	upahaar
अस्वैच्छिक	بی اختیار؛ غیر عمدی	asvaichchhik
अनिच्छा से होने वाला	بی اختیار؛ غیر عمدی	anichchhaa se hone vaalaa
शामिल करना	درگیر کردن	shaamil karanaa
संबन्ध	درگیری	sanbandh
अंदरूनी	داخل رونده	andaruunii
आयन	یون؛ ایون	aayan
रत्ती	ایوتا	rattii
आयोवा	آیوا	aayovaa
आयरलैंड	ایرلند	aayaralaind
आयरिश	ایرلندی	aayarish
आयरलैंडवासी	ایرلندی	aayaralaindavaasii
उबाऊ	کسل کننده	ubaauu
व्यंग्यपूर्ण	کنایه‌آمیز	vyangyapuurn
व्यंग्यात्मक	کنایه‌آمیز	vyangyaatmak
व्यंग्यपूर्वक	کنایه‌آمیزانه	vyangyapuurvak
व्यंग्यपूर्ण ढंग से	کنایه‌آمیزانه	vyangyapuurn dhang se
व्यंग्योक्ति	کنایه	vyangyokti
व्याजोक्ति	کنایه	vyaajokti
अविवेकी	بی منطق؛ غیر منطقی	avivekii
असमाधेय	جور نشدنی؛ اصلاح ناپذیر	asamaadhey
असंबद्ध	نامربوط	asanbaddh
बेमतलब	نامربوط	bematalab
अपूरणीय	بی کفاره؛ خوب نشدنی	apuuraniiy
जिसे सुधारा न जा सके	بی کفاره؛ خوب نشدنی	jise sudhaaraa n jaa sake
अदमनीय	منع ناپذیر؛ مطیع نشدنی	adamaniiy
का विचार किए बिना	صرفنظر از	kaa vichaar kie binaa
का विचार किये बिना	صرفنظر از	kaa vichaar kiye binaa
गैर ज़िम्मेदार	وظیفهنشناس	gair zimmedaar
अपरिवर्तनीय	بلا عزل	aparivartaniiy
सीँचना	مشروب کردن؛ سیراب کردن	siinchanaa
सिँचाई	آبیاری	sinchaaii
सिंचाई	آبیاری	sinchaaii
चिड़चिड़ापन	زودخشمی؛ زود رنجی	chirachiraapan
अतिसंवेदनशीलता	زودخشمی؛ زود رنجی	atisanvedanashiilataa
क्रोधी	زودخشم	krodhii
खुजलीदायक	آزارنده؛ سوزش آور	khujaliidaayak
चिढ़ाना	رنجاندن؛ آزردن	chirhaanaa
खिझाना	رنجاندن؛ آزردن	khijhaanaa
चबूतरा	جزیره	chabuutaraa
द्वीप	جزیره	dviip
टापू	جزیره	taapuu
समाधान करना	منزوی کردن	samaadhaan karanaa
एकांत	انزوا	ekaant
अलगाव	انزوا	alagaav
प्रकाशन, प्रचालन	صدور	prakaashan / prachaalan
यह/वह	آن	yah / vah / vaakyaansh pramukhataa bataanaa
वाक्यांश प्रमुखता बताना	آن	yah / vah / vaakyaansh pramukhataa bataanaa
इटली वासी	ایتالیائی	italii vaasii
इटली संबंधी	ایتالیائی	italii sanbandhii
इटली	ایتالیا	italii
खर्जु	خارش؛ خنش	kharju
खुजलाहट	خارش؛ خنش	khujalaahat
अपना	مال آن	apanaa
स्वयम्	خودش	svayam
गजदंत	عاجی؛ عاج	gajadant
हाथी दांत	عاجی؛ عاج	haathii daant
आइवी लता	پیچک	aaivii lataa
विद्वत्तापूर्ण मानक	پیچک	vidvattaapuurn maanak
जैकेट	ژاکت	jaiket
दाँतेदार	مضرس؛ دندانهدار	daantedaar
ऊबड़ खाबड़	مضرس؛ دندانهدار	uubar khaabar
जेल	زندان	jel
कारागार	زندان	kaaraagaar
जाम	مربا، ترافیک	jaam
जनवरी	ژانویه	janavarii
जापान	ژاپن	jaapaan
रोग़न करके चमकाना	ژاپن	roghan karake chamakaanaa
जापानी	ژاپنی	jaapaanii
जापानवासी	ژاپنی	jaapaanavaasii
सुराही	کوزه؛ سبو	suraahii
मर्तबान	کوزه؛ سبو	martabaan
बाँका	خود ساز	baankaa
जिन्दादिल	خود ساز	jindaadil
लहर	فک؛ آرواره	lahar
जाज	جاز	jaaj
गीतनाट्य	جاز	giitanaaty
असूया	رشک؛ حسادت	asuuyaa
सूती कपड़ा	شلوار جین	suutii kaparaa
अवलेह	ژلاتین؛ لرزانک	avaleh
धक्का/झटका	زود کشیدن؛ تکان سریع دادن	jhatakaa / dhakkaa / jhatakaa
स्वेटर	پارچه کشباف	svetar
जर्सी	پارچه کشباف	jarsii
यरुशलम	اورشلیم؛ اورشلیم مقدس	yarushalam
परिहास	شوخی کردن؛ ببازی گرفتن	parihaas
मजाक	شوخی کردن؛ ببازی گرفتن	majaak
जेज़ुइट	یسوعیون	jezuit
ईसा मसीह की रोयल केथोलिक समाज का सदस्य	یسوعیون	iisaa masiih kii royal ketholik samaaj kaa sadasy
फुहार	جت	phuhaar
जेवर	جواهرات	jevar
खनखनाहट	جرنگ؛ جلنگ	khanakhanaahat
घुड़दौड़ का घुड़सवार	سوارکار؛ چابک سوار	ghuradaur kaa ghurasavaar
घुड़ दौड़ का पेशेवर घुडसवार	سوارکار؛ چابک سوار	ghur daur kaa peshevar ghudasavaar
मजाकिया	شوخی آمیز	majaakiyaa
परिहासशील	شوخی آمیز	parihaasashiil
साझे का	مشترک	saajhe kaa
मिल कर	تواماً؛ مشاعا	mil kar
संयुक्त रूप से	تواماً؛ مشاعا	sanyukt ruup se
मज़ाक	شوخی، شوخی کردن	mazaak
चुटकुला	شوخی، شوخی کردن	chutakulaa
जोन्स	جونز	jons
धक्का देना	تنه زدن	dhakkaa denaa
पत्रिका	مجله؛ جورنال	patrikaa
पत्रकारिता	روزنامه نگاری	patrakaaritaa
पत्रकार	روزنامه‌نگار	patrakaar
पट्रकार	روزنامه‌نگار	patrakaar
यात्रा	سفر	yaatraa
गाल	کله ماهی	gaal
खुश	طربناک؛ پرنشاط	khush
जानकार	قاضی؛ داور	jaanakaar
न्यायिक	قضایی	nyaayik
न्यायपालिका	وابسته بدادگاه؛ قوه قضائیه	nyaayapaalikaa
विवेकपूर्ण	روشن رای	vivekapuurn
जुलाई	جولای	julaaii
घालमेल	درهم آمیختگی	ghaalamel
छलांग	پریدن، پرش	chhalaang
जंफर	جهنده؛ سیم جهشی	janphar
जंक्शन	تقاطع	jankshan
समय/परिस्थिति	ملتقا؛ درزگاه	mor / samay / paristhiti
जून	ژوئن	juun
जूनअ	ژوئن	juuna
जंगल संगीत	جنگل	jangal sangiit
निवड	اصغر	nivad
जूनिपर	اردج	juunipar
धूपचन्दन	اردج	dhuupachandan
क्षेत्राधिकार	حوزه قضایی	kshetraadhikaar
अधिकारक्षेत्र	حوزه قضایی	adhikaarakshetr
विधिशास्त्र	فقه	vidhishaastr
न्यायशास्त्र	فقه	nyaayashaastr
जूरी	هیئت منصفه	juurii
निर्णायक समिति	هیئت منصفه	nirnaayak samiti
ठीकठाक	عادلانه، فقط؛ فقط، همین الان	thiikathaak
औचित्य	داد؛ عدل	auchity
ब्यौरा देना	توجیه کردن	byauraa denaa
कारण दिखाना	توجیه کردن	kaaran dikhaanaa
कैज़र	کایزر	kaizar
कैनसस	کانزاس	kainasas
कश्मीर	کشمیر	kashmiir
रक्षक{रखवाली करने वाला}	حافظ؛ حافظه	rakshaka{rakhavaalii karane vaalaa}
केंटकी	کنتاکی	kentakii
स्कार्फ़	چار قد	skaarf
केतली	کتری	ketalii
कीबोरड	جا انگشتی؛ سفحه کلید	kiiborad
कुंजीपटल	جا انگشتی؛ سفحه کلید	kunjiipatal
कुंजी खांचा	سوراخ کلید	kunjii khaanchaa
ताले का छेद	سوراخ کلید	taale kaa chhed
ख़ान	خان	khaan
ठोकर	لگد؛ باپازدن	thokar
किक	لگد؛ باپازدن	kik
बच्चा{बकरी/हिरन/भेड़}	بچه	bachchaa / bachchaa{bakarii / hiran / bher}
अपहरन करना	ربودن	apaharan karanaa
अपहरण	آدمربایی؛ آدم ربا	apaharan
व्यपहरण	آدمربایی؛ آدم ربا	vyapaharan
गुर्दा	کلیه	gurdaa
गुरदा	کلیه	guradaa
कातिल	آدم کش	kaatil
किलोमीटर	کیلومتر	kilomiitar
सुलगाना	افروختن؛ گیراندن	sulagaanaa
कृपालु	مرحمتا	kripaalu
कृपया	مرحمتا	kripayaa
गतिक	جنبشی؛ وابسته بحرکت	gatik
गतिज	جنبشی؛ وابسته بحرکت	gatij
राजा	پادشاه	raajaa
राज्य	پادشاهی	raajy
रिश्तेदारी	خویشاوندی؛ قوم وخویشی	rishtedaarii
चुम्मा	ماچ؛ بوسه	chummaa
चूम्बन	ماچ؛ بوسه	chuumban
किट	کیت	kit
उपकरण समूह	کیت	upakaran samuuh
रसोई	آشپزخانه	rasoii
पाकशाला	آشپزخانه	paakashaalaa
चील	زغن؛ خوا	chiil
पतंग	زغن؛ خوا	patang
बिल्ली का बच्चा	بچهگربه	billii kaa bachchaa
बिल्ली	بچهگربه	billii
बाज़ी	بچهگربه	baazii
युक्ति	لم؛ صدای شلاق	yukti
झोला	پشتواره؛ توشه دان	jholaa
पीठ का थैला	پشتواره؛ توشه دان	piith kaa thailaa
कब्जा	زانو	kabjaa
टेढा टुकड़ा	زانو	tedhaa tukaraa
घण्टा	صدایی زنگ	ghantaa
छुरी	چاقو	chhurii
चाकू	چاقو	chaakuu
घोड़ा	شوالیه؛ نجیب زاده	ghoraa
शूरवीर	شوالیه؛ نجیب زاده	shuuraviir
सिकोड़ना	بافتن؛ کشبافی کردن	sikoranaa
जुड़ना	بافتن؛ کشبافی کردن	juranaa
बटन	دستگیره	batan
खटखटाना	کوبیدن، ضربه زدن	khatakhataanaa
छोटी गोल पहाड़ी	نوک تپه	chhotii gol pahaarii
उँगली की गाँठ	قرحه روده	ungalii kii gaanth
टखने का गोश्त	قرحه روده	takhane kaa gosht
क्रेम्लिन	کرملین	kremlin
रूसी किला	کرملین	ruusii kilaa
प्रयोगशाला	آزمایشگاه	prayogashaalaa
उपनाम	برچسب؛ برچسب زدن	upanaam
मेहनत	کار؛ نیروی کار؛ زایمان	mehanat
प्रयोगस्थल	آزمایشگاه؛ لابراتوار	prayogasthal
मजदूर	عمله	majaduur
गोरखधंधा	لابیرنت	gorakhadhandhaa
फटन	جرح	phatan
छेदन	جرح	chhedan
पिछलगा	چاکری کردن	pichhalagaa
लैक्टेट	شیر مکیدن	laiktet
दूध उत्पन्न करना	شیر مکیدن	duudh utpann karanaa
दुग्ध पान	ارضاع؛ ایجاد شیر	dugdh paan
स्तन्य काल	ارضاع؛ ایجاد شیر	stany kaal
दुग्धाम्लीय	شیری؛ شبیه شیر	dugdhaamliiy
लडका/नवयुवक	پسر جوان	larakaa / ladakaa / navayuvak
सीढी	نردبان	siidhii
उधड़न	نردبان	udharan
लदा हुआ	سنگین بار؛ بارگیری شده	ladaa huaa
माँ	خانم	maan
पत्नी	خانم	patnii
पिछडना	عقب مانده	pichhadanaa
परत चढ़ाना	عقب مانده	parat charhaanaa
झील	دریاچه	jhiil
गोश्त	بره؛ گوشت بره	gosht
दुलारा	بره؛ گوشت بره	dulaaraa
पंगु	شل؛ لنگ	pangu
पँगु	شل؛ لنگ	pangu
शोक	زاریدن؛ نوحه کردن	shok
विलाप	زاریدن؛ نوحه کردن	vilaap
शोक योग्य	زار	shok yogy
विलाप करने वाला	شیون	vilaap karane vaalaa
पतली परत	لایه نازک؛ شاخه پرده ای	patalii parat
पटल	لایه نازک؛ شاخه پرده ای	patal
परतदार	متورق	paratadaar
प्लास्टिक आवरणयुक्त	متورق	plaastik aavaranayukt
नक्षत्र	لامپ	nakshatr
बल्लम	نیزه؛ نشتر زدن	ballam
अवतरण	فرود	avataran
घाट{अवतरणस्थान}	فرود	ghaata{avataranasthaan}
भूमिहीन	بدون زمین	bhuumihiin
जमीनदार	صاحبخانه	jamiinadaar
जमींदार	صاحبخانه	jamiindaar
सीमाचिह्न	نشانه، بنای تاریخی	siimaachihn
थल चिह्न	نشانه، بنای تاریخی	thal chihn
ज़मींदार	صاحب ملک	zamiindaar
भूमिधर	صاحب ملک	bhuumidhar
भूदृश्य	چشم انداز	bhuudrishy
प्राकृतिक दृश्य	چشم انداز	praakritik drishy
भूस्खलन	ریزش خاک؛ ریزش کوه	bhuuskhalan
महाविजय	ریزش خاک؛ ریزش کوه	mahaavijay
लेन	خط (جاده)	len
भाषा	زبان	bhaashaa
शिथिल	بی حال	shithil
लैनोलिन	لانولین	lainolin
बकरी के ऊन से निकाली हुई चरबी	لانولین	bakarii ke uun se nikaalii huii charabii
लालटेन	فانوس؛ چراغ توری	laalaten
चूक	زوال؛ خرف شدن	chuuk
एक छोटा गणक	لپ‌تاپ	ek chhotaa ganak
बृहत	گسترده	brihat
बड़े पैमाने पर	گسترده	bare paimaane par
तुलिका	غزلاغ	tulikaa
स्वरयंत्र-संबंधी	حنجری؛ حنجرهای	svarayantr-sanbandhii
कंठ	حنجره	kanth
स्वर यंत्र	حنجره	svar yantr
लेजर	لیزر	lejar
घूमना	شلاق؛ تازیانه	ghuumanaa
टिकना	آخرین؛ آخرین (صفت)؛ طول کشیدن	tikanaa
चिटकनी	چفت؛ چفت کردن	chitakanii
खटकेदार ताला	چفت؛ چفت کردن	khatakedaar taalaa
दिवंगत	دیر	divangat
