like	دوست داشتن؛ مانند	laik
likelihood	احتمال	laiklihud
likely	احتمالی	laikli
likened	مشبه	laikand
likeness	سان؛ مثال	laiknas
likewise	به همین ترتیب	laikwaiz
lilac	یاس شیروانی	lailak
lily	سوسنی؛ گلایل	lili
limb	اندام	lim
limbed	عضودار	limd
limbo	برزخ	limbo
lime	آهک؛ سنگ آهک	laim
limestone	سنگ آهک	laimston
limit	حساب؛ حد	limat
limitation	محدودیت	limiteyshen
limited	محدود؛ منحصر	limatad / limitid
limitless	بیحد؛ بی نهایت	limatlas
limp	شلیدن؛ لنگیدن	limp
lincoln	لینکلن	lingkan
line	خط	lain
lineage	سویه؛ اصل ونسب	liniaj
linear	خطی	linier
linen	کتانی؛ کتان	linan
line-up	صف‌آرایی، ترکیب	lainap
linger	معطل ماندن	lingger / linger
link	پیوند، پیوند دادن	lingk
linoleum	مشمع	lanoliam
linseed	بزرک؛ برزگ	linsid
lion	شیر	laian
lip	لب	lip
liquefaction	آبگونسازی	likwafakshen
liquefy	ذوب شدن	likwafai
liquid	مایع؛ ماچی	likwad / likwid
liquor	عرق؛ مشروب	liker
lisp	شلی زبان	lisp
list	فهرست، فهرست کردن	list
listen	گوش دادن	lisan
listener	شنونده	lisaner / lisner
lister	سجاف دوز	lister
listing	فهرست‌بندی	listing
literacy	سواد	literasi
literal	حرفی؛ لفظی	literel
literally	به معنای واقعی کلمه	literali / litrali
literary	ادبی	litereri
literate	باسواد	literat
literature	ادبیات؛ ادب وهنر	literacher
lithe	لاغر اندام	laidh
lithuania	لیتوانی	lithaweynia
litigation	دعوا؛ دعوی	litageyshen
litre	لیتر	litre
litter	آشغال	liter
little	کمی (قید)؛ کمی، کوچک	litel
live	زندگی کردن	laiv / liv
livelihood	معیشت؛ عقل معاش	laivlihud
lively	باروح؛ سبکروح	laivli
liver	کبد	liver
liveried	در کسوت	livrid
liverpool	لیورپول	liverpul
livery	لباس مستخدم؛ علیق اسب	liveri
livid	کبود شده	livid
load	بار؛ محمول	lod
loading	بارگیری؛ بارکنش	loding
loaf	تکه؛ ولگردی کردن	lof
loafer	بیکاره	lofer
loan	عاریه؛ وام	lon
loathe	منزجر بودن؛ سبب بیزاری	lodh
lobby	لابی، لابی کردن	laabi
lobster	خرچنگ	laabster
local	محلی	lokel
locality	محل خاص	lokaliti
located	ساکن	lokeytad / lokeyd
location	محل	lokeyshen
lock	قفل، قفل کردن	laak
lockup	زندانکردن	laakap
locomotion	نقل وانتقال	lokamoshen
locomotive	لکوموتیو؛ نیروی محرکه	lokamotiv
locomotor	حرکتی؛ نقص تحرک	lokamoter
locus	مکان هندسی	lokas
lodge	بیتوته کردن؛ ماوا دادن	laaj
lodging	منزل گاه؛ محل سکونت	laajing
lofty	سنی؛ منیع	lofti
log	گزارش، ثبت کردن	log
logic	منطق	laajik
logical	منطقی	laajikel
login	قطع ارتباط	login
logo	لوگو	logo
loin	گرد	loyn
loitering	پرسه زنی	loytering
london	لندن	landan
lone	مجزا ومنفرد	lon
loneliness	تنهایی؛ غریبی	lonlinas
lonely	غریب؛ تنها	lonli
long	بلند، طولانی	long
longing	هوس؛ میل وافر	longing
longitudinal	طولی	laanjatudanel
long-standing	دیرینه	long-standing
long-time	طولانی‌مدت	long-taim
look	نگاه؛ نگاه کردن	luk
lookout	چشم انداز	lukaut
loom	در افق پدیدار شدن	lum
loop	حلقه	lup
loophole	مزغل ساختن؛ سوراخ سنگر	luphol
loose	گشاد؛ شل	lus
loosely	باشلی	lusli
loot	غارت کردن	lut
lope	وخیز درآوردن	lop
lord	ارباب؛ خداوند	lord
lordship	اربابی؛ سیادت	lordship
lore	فرهنگ نژادی؛ وروایات قومی	lor
lorgnette	عینک پنسی	lornyet
lorry	کامیون	lori
lose	از دست دادن	luz
loss	زیان؛ فقدان	los
lost	گمشده	lost
lot	مقدار زیادی	laat / lot
lotion	کرم؛ لوسیون	loshen
lottery	قرعه کشی	laateri
loud	بلند (صدا)	laud
loudly	با صدای بلند	laudli
lounge	اطاق استراحت؛ سالن استراحت	launj
louse	شپش؛ جو جو	laus
lout	الدنگ؛ سرفرود آوردن	laut
love	عشق، عاشق بودن	lav
lovely	دوست داشتنی	lavli
lover	یار؛ عاشق	laver
loving	عاشقانه؛ مشتاق	laving
lovingly	مشتاقانه	lavingli
low	پایین	lo
loyal	وفادار	loyel
loyalty	وفاداری	loyalti
lozenge	لوزی؛ شکل لوزی	lozanj
lubricant	روغن؛ چرب کننده	lubrakant
luck	شانس	lak
lucky	خوش شانس	laki
lucrative	پرمنفعت	lukrativ
luggage	توشه؛ بنه	lagaj / lagij
lumbar	مهره کمر؛ ناحیه کمر	lambaar
lumber	الوار؛ تیر بریده	lamber
luminous	تابان؛ شب نما	lumanas
lump	غلنبه؛ قلنبه کردن	lamp
lunatics	مجانین	lunatiks
lunch	ناهار	lanch
luncheon	غذای مفصل	lanchan
lung	ریه؛ جگر سفید	lang
lure	اغوا کردن؛ گول زنک	lur
lurid	شعله تیره؛ شعله دودنما	lurad
lust	شهوت؛ شهوانیت	last
luster	تجلی؛ درخشش	laster
lustre	جار	laster
lustrous	پر جلوه	lastras
lusty	مغلم؛ شهوت انگیز	lasti
luxuriant	پرپشت؛ پربرکت	lagzheriant
luxurious	مجلل؛ تجملی	lagzherias
luxury	عیش؛ تجمل	lagzheri
lying	دروغگو؛ کذاب	laiing
lymph	لنف	limf
lymphatic	بلغمی؛ لنفاوی	limfatik
lynch	مثله کردن	linch
lyric	متن ترانه	lirik
lyrical	بزمی؛ غنایی	lirikel
machine	ماشین	mashin
machinery	ماشین‌آلات	mashineri / mashinri
mackintosh	پارچه بارانی	makantaash
mad	شوریده؛ دیوانه وار	mad
madam	مادام	madam
mademoiselle	دوشیزه؛ مادموازل	madamazel
madly	دیوانه وار	madli
madness	شوریدگی؛ شیدائی	madnas
madrid	مادرید	madrid
magazine	مجله	magazin
magic	طلسم؛ سحر	majik
magical	جادویی	majikel
magician	مغ؛ ساحر	majishen
magistrate	قاضی	majastreyt / majistreyt
magnesium	تباشیر؛ منیری	magniziam
magnet	مغناطیس؛ مقناطیس	magnat
magnetic	مغناطیسی	magnetik
magnificent	باشکوه	magnifasant / magnifisant
magnifying	درشت نمایی	magnafaiing
magnitude	بزرگی	magnatud
magnolia	ماگنولیا	magnolya
maid	خادمه؛ ندیمه	meyd
maiden	دختر باکره	meydan
mail	پست، پست کردن	meyl
maim	چلاق کردن؛ نقص عضو	meym
main	اصلی	meyn
mainland	سرزمین اصلی	meynland
mainly	عمدتا	meynli
mainstream	جریان اصلی	meynstrim
maintain	نگهداری کردن	meynteyn
maintenance	نگهداری	meyntanans / meyntnans
majestic	شاهانه؛ باعظمت	majestik
majesty	جبروت؛ حضرت	majasti
major	اصلی، عمده	meyjer
majority	غالب؛ اکثریت	majoriti
make	ساختن	meyk
maker	سازنده؛ صنیع	meyker
make-up	آرایش	meykap
making	ساخت	meyking
mala	مالا	maala
malady	فاسد شدگی	maladi
malaria	مالاریا؛ نوبه	maleria
malarial	مالاریایی؛ نوبه ای	maleriel
malcontent	آماده شورش	malkantent
male	مرد، مردانه	meyl
malevolent	کج اندیش	malevalant
malice	بدنهادی؛ بدذاتی	malas / malis
malicious	خبیث؛ غرضآلود	malishas
malignancy	بدخیمی	malignansi
malignant	خبیث؛ بدخیم	malignant
mallet	کلوخ کوب	malit
malnutrition	سوء تغزیه	malnutrishen
malt	مالت؛ مالت زدن	molt
mammal	پستاندار	mamel
mammary	پستانی	mameri
man	مرد	man
manage	مدیریت کردن	manaj / manij
management	مدیریت؛ مدریت	manajmant / manijmant
manager	مدیر	manajer / manijer
managerial	مدیریتی	manijiriel
manchester	منچستر	manchester
mandate	دستور، حکم	mandeyt
mandatory	الزامی	mandatori
mandible	زفر	mandabel / mandibel
mane	یال	meyn
maneuver	مانور؛ تمرین نظامی	manuver
mange	گری؛ گرداندن	meynj
manger	آخور	meynjer
manhood	مردی؛ رجولیت	manhud
maniac	مجنون	meyniak
manifest	آشکار کردن	manafest
manifestation	جلوه؛ ظهور	manafesteyshen
manifestly	علانیتا	manafestli
manifesto	اعلامیه؛ اشعاریه	manafesto / manifesto
manila	مانیل؛ کاغذ مانیل	manila
manipulate	دستکاری کردن	manipyaleyt
manipulation	دستکاری	manipyaleyshen
mankind	بشر؛ نژاد انسان	mankaind
manly	مردانه؛ مردوار	manli
manna	گزانگبین	mana
manner	رفتار، روش	maner
manor	ملک تیولی	maner
mansion	کاخ؛ عمارت بزرگ	manshen
mantle	غاشیه؛ کلاه توری	mantel
mantles	غواشی	mantalz
manual	دستی؛ یدی	manyuel
manufacture	تولید کردن	manyafakcher
manufacturing	تولید	manyafakchering
manure	کود کشاورزی	manur
manuscript	دست‌نوشته	manyaskript
many	بسیاری	meni
map	نقشه	map
mapping	نقشه کشی	maping
marathon	ماراتن	merathaan
marble	مهره؛ مرمر	maarbel
marbled	مرمرنما	maarbald
march	مارس؛ رژه	maarch
mare	مادیان؛ اسب ماده	mer
margin	حاشیه	maarjan
marginal	حاشیه‌ای	maarjanel
marine	دریایی	merin
maritime	وابسته بدریانوردی	merataim
mark	علامت، علامت گذاشتن	maark
marker	نشانگر	maarker
market	بازار	maarkat / maarkit
marketplace	بازار	maarkatpleys / maarkitpleys
marque	علامت مخصوص	maark
marriage	عروسی؛ ازدواج	merij
married	متاهل	merid
marrow	مغز؛ قسمت عمده	mero
marry	ازدواج کردن	meri
mars	بهرام؛ مریخ	maarz
marshal	مارشال؛ ارتشبد	maarshel
marshall	مارشال	maarshel
martial	رزمی	maarshel
martyr	شهید	maarter
martyrdom	شهادت	maarterdam
marvel	شگفت داشتن؛ حیرت زده شدن	maarvel
masculine	مکر؛ مردانه	maskyalan
mash	خمیر کردن؛ درهم وبرهمی	mash
mask	ماسک	mask
mason	بنا؛ فراماسیون	meysan
masonry	حجاری؛ فراماسیونی	meysanri
mass	توده؛ کپه کردن	mas
massacre	قتل عام	masaker
massage	مالیدن؛ ماساژ	masaazh
massive	عظیم؛ گنده	masiv
mast	دگل	mast
master	استاد؛ ارباب؛ مسلط شدن	master
masterpiece	شاهکار؛ شیرین کاری	masterpis
mastery	سیادت؛ تبحر	masteri
mat	حصیر؛ زیر گلدانی	mat
match	مسابقه، مطابقت داشتن	mach
matchmaker	دلاله؛ دلال ازدواج	machmeyker
mate	رفیق	meyt
mater	سخت شامه؛ نرم شامه	maater / meyter
material	ماده، جنس	matiriel
maternal	مادرانه؛ مادروار	maternel
mathematical	ریاضی	mathamatikel
mathematician	ریاضی دان	mathamatishen
mathematics	ریاضیات	mathamatiks
maths	ریاضیات	maths
matrix	ماتریس	meytriks
matron	بیبی؛ سرپرستار	meytran
matt	فلز شناسی	mat
matter	موضوع، اهمیت داشتن	mater
matting	بوریا بافی	mating
mattress	تشک؛ دوشک	matras
mature	بالغ	machur / matyur
maturity	سر رسید	machuriti / matyuriti
mawkish	کسل کننده	mokish
maxilla	فک	maksila
maxillary	فکی؛ آروارهای	maksilari
maxim	گفته؛ گفته اخلاقی	maksam
maximize	به حداکثر رساندن	maksamaiz
maximum	بیشینه؛ حد اکثر	maksamam
may	می؛ ممکن است (فعل کمکی)	mey
maybe	شاید	meybi
mayonnaise	مایونز	meyaneyz
mayor	شهردار	meyer
me	من (مفعول)	mi
meadow	چمن؛ چمنزار	medo
meager	بی چربی؛ بی برکت	miger
meal	وعده غذایی	mil
mean	معنی دادن، منظور داشتن	min
meaning	معنی	mining
meaningful	معنی‌دار	miningfel
meaningless	بیمعنا؛ بی معنی	mininglas
meanness	پستی؛ خست	minnas
meantime	در ضمن	mintaim
meanwhile	ضمنا؛ درضمن	minwail
measles	سرخجه؛ سرخچه	mizalz
measurable	پیمایش پذیر	mezherabel
measure	اندازه؛ اقدام	mezher
measurement	سنجش؛ پیمایش	mezhermant
meat	گوشت	mit
mechanic	مکانیک	makanik / mikanik
mechanical	مکانیکی	makanikel
mechanics	مکانیک	makaniks
mechanism	مکانیزم	mekanizam
med	مسحور	med
medal	مدال	medel
meddle	فضولی کردن	medel
media	رسانه	midia
median	مادی	midian
mediate	وساطت کردن؛ میانجی شدن	midieyt
mediation	وساطت؛ شفاعت	midieyshen
mediator	میانجی	midieyter
medical	پزشکی	medakel / medikel
medication	دارو	medakeyshen
medicinal	دارایی؛ داروئی	madisanel
medicine	دارو	medasan
medieval	قرون وسطایی	midivel / midyivel
meditation	مراقبه	medateyshen
mediterranean	مدیترانه؛ دریای مدیترانه	medatereynian
medium	متوسط؛ رسانه	midiam
meek	افتاده؛ فقیرانه	mik
meet	ملاقات کردن	mit
meeting	جلسه	miting
melancholy	سودا زدگی	melankaali
melodious	بانوا؛ ملیح	malodias
melody	ملودی	meladi
melon	خربزه؛ خربوزه	melan
melt	گداختن؛ آب کردن	melt
member	عضو	member
membership	عضویت	membership
membrane	غشاء؛ شامه	membreyn
membranous	غشادار	membranas
memo	یادداشت	memo
memoir	خاطرات	memwaar
memorable	به یاد ماندنی	memerabel
memorandum	تذکاریه؛ شرکت نامه	memerandam
memorial	یادبود	mamoriel
memory	حافظه	memeri
menace	چشم زهره گرفتن؛ چشم زهره رفتن	menas / menis
mend	بندزدن	mend
meningitis	مننژیت	menanjaitas
mental	روانی؛ فکری	mentel
mentality	طرز فکر؛ قوه ذهنی	mentaliti
mentally	فکرا	mentali / menali
mention	اشاره کردن	menshen
mentor	مربی	mentor / menter
menu	منو	menyu
merchandise	متاع؛ مبیع	merchandaiz
merchant	بازرگان	merchant
merciful	رحیم؛ بخشنده	mersifel
mercurial	جیوه دار	merkyuriel
mercury	جیوه؛ سیماب	merkyeri
mercy	رحمت	mersi
mere	صرفاً	mir
merely	صرفاً	mirli
merge	ادغام کردن	merj
merger	ادغام	merjer
meridian	درجه کمال؛ مدار نصف النهار	meridian
merit	شایستگی	merat
merry	شنگ؛ شاد دل	meri
mesopotamia	بین النهرین	mesapateymia
message	پیام	mesaj / mesij
messenger	فرستاده؛ رسول	mesanjer / mesinjer
metabolism	متابولیزم؛ سوخت و ساز	matabalizam
metal	فلز	metel
metallic	روئین	matalik
metamorphosis	دگردیسی؛ مسخ	metamorfasas
metaphor	استعاره	metafor
metaphorically	بر سبیل استعاره	metaforikli
metaphysical	علوم معقول؛ ماوراء الطبیعی	metafizikel
metaphysics	ماوراءالطبیعه؛ ماوراء طبیعت	metafiziks
metastasis	هجوم مرض	matastasis
method	روش	methad
methodology	روش‌شناسی	methadaalaji
metre	متر	miter
metropolis	مادرشهر؛ شهر بزرگ	matraapalas
metropolitan	مطران؛ مطرانی	metrapaalatan
mettle	خمیره	metel
mexican	مکزیکی	meksakan
mexico	مکزیک؛ مکزیکو	meksako
michigan	میشیگان	mishigan
micro	میکرو؛ میلیونیم	maikro
microphone	میکروفن	maikrafon
microscope	ریزبین؛ میکروسکپ	maikraskop
midday	نیمروز	middey
middle	میانه	midel
middling	جمله مشترک	midaling / midling
midnight	نیمه‌شب	midnait
midst	میان	midst / mist
midway	وسط مسیر	midwey
midwife	ماما؛ ماماچه	midwaif
might	ممکن است (فعل کمکی)	mait
mighty	توانا؛ اقویا	maiti
migrate	کوچیدن؛ کوچ دادن	maigreyt
migration	مهاجرت	maigreyshen
migratory	مهاجرت کننده	maigratori
mild	نرم؛ ملایم	maild
mildly	نرم نرم	maildli
mile	مایل	mail
militant	شبه‌نظامی	milatant
military	نظامی	milateri / militeri
militia	شبه‌نظامیان	malisha / milisha
milk	شیر	milk
milky	شیری؛ شیردار	milki
mill	آسیاب	mil
millennium	هزاره؛ هزارمین سال	maleniam
miller	آسیابان؛ میلر	miler
million	میلیون	milyan
millionaire	میلیونر	milyaner
mimicking	ادا و اطوار	mimiking
min	مین	min
mind	ذهن، اهمیت دادن	maind
mindful	در فکر	maindfel
mine	مال من	main
miner	معدنچی	mainer
mineral	معدنی	minerel / minrel
mingle	در آمیختن	minggel
minimal	حداقل	minamel
minimize	به حداقل رساندن	minamaiz
minimum	اقل؛ حد اقل	minamam
mining	معدن	maining
minister	وزیر	minaster / minister
ministerial	اداری؛ وزارتی	ministiriel
ministry	وزارتخانه	minastri / ministri
minor	فرعی؛ اصغر	mainer
minority	اقلیت؛ صغارت	mainoriti / manoriti
mint	نعناع	mint
minus	منها	mainas
minute	دقیقه؛ دقیقه، بسیار کوچک	minat / mainut
miracle	معجزه	mirakel
miraculous	معجزه آمیز؛ معجزه آسا	merakyalas
mirror	آینه	mirer
miscarriage	عدمتوفیق	miskeraj
mischief	شیطانی؛ شیطنت	mischaf
mischievous	شریر؛ مفسد	mischavas
misconduct	بدرفتاری؛ سوء رفتار	miskaandakt
miserable	بدبخت	mizerabel / mizrabel
misery	بدبختی	mizeri
misfortune	بلا؛ بدبختی	misforchan
mislead	منحرف کردن؛ گمراه کردن	mislid
misleading	گمراه‌کننده	misliding
misled	گمراه؛ ضال	misled
misplaced	جابجا شده	mispleyst
misrule	سوء اداره	misrul
miss	از دست دادن، دلتنگ شدن	mis
missile	موشک	misel
missing	گمشده	mising
mission	ماموریت	mishen
missionary	مبلغ	misheneri
misspelled	مصحف	misspeld / mispeld
missy	دختر خانم	misi
mist	غبار	mist
mistake	اشتباه	misteyk
mistaken	مشتبه؛ اشتباهی	misteykan
mistress	معشوقه؛ کدبانو	mistras
misunderstand	بد شناختن؛ بد فهمیدن	misanderstand
misunderstanding	سوءتفاهم؛ سو تفاهم	misanderstanding
mix	آمیختن؛ آغشتن	miks
mixture	آمیزه؛ آمیختگی	mikscher
moan	لابه کردن؛ زاری کردن	mon
mob	اوباش	maab
mobile	متحرک، موبایل	mobel
mobility	تحرک	mobiliti
mobilize	بسیج کردن	mobalaiz
mock	مسخره کردن؛ استهزاء کردن	maak
mode	حالت	mod
model	مدل	maadel
moderate	متعادل	maaderat / maadereyt
moderately	معتدلانه	maaderatli
moderation	اعتدال؛ تعادل	maadereyshen
modern	مدرن	maadern
modest	متواضع	maadast
modesty	شرم؛ عفت	maadasti
modification	اصلاح	maadafakeyshen
modify	جرح و تعدیل کردن	maadafai
moist	تر؛ نمناک	moyst
moistened	نمزده	moysand
moisture	نمداری	moyscher
molasses	ملاس	malasaz
mold	قالب؛ کپک قارچی	mold
moldavia	ملداوی	moldeyvia / moldaavia
mole	خال	mol
molecular	مولکولی	malekyaler
molecule	مولکول؛ ملکول	maalakyul
moment	لحظه	momant
momentary	زود گذر	momanteri
momentum	تکانه	momentam
monarch	شهریار	maanaark
monarchist	سلطنت طلب	maanaarkist
monarchy	سلطنت؛ شهریاری	maanaarki
monastery	صومعه؛ خانقاه	maanasteri
monday	دوشنبه	mandi / mandey
monetary	مالی؛ پولی	maanateri
money	پول	mani
monitor	مبصر؛ تحت نظر گرفتن	maanater
monitoring	گوشیاری	maanatering
monk	راهب	mangk
monkey	میمون	mangki
monogram	امضای هنری	maanagram
monograph	ویژه نگاشت	maanagraf
monopoly	انحصار	manaapali
monotonous	یک نواخت	manaatanas
monotony	یکآهنگی؛ یکنواختی	manaatani
monsieur	مسیو	masyer
monster	هیولا	maanster
monstrosity	شرارت بسیار	maanstraasiti
month	ماه	manth
monthly	ماهانه	manthli
monument	بنای یادبود	maanyumant / maanyamant
mood	اوقات؛ حوصله	mud
moody	بدقلقی؛ بدقلق	mudi
moon	ماه	mun
moonlight	مهتاب	munlait
moonshine	ماهتاب	munshain
moral	اخلاقی؛ اخلاق	morel
morale	قوت قلب دادن	meral
morality	اخلاق	meraliti
morally	اخلاقا	morali
morbid	مرضی؛ وحشت آور	morbad
more	بیشتر	mor
moreover	علاوه بر این	morover
moribund	مشرف به موت	moraband
morning	صبح	morning
morose	ترشرو؛ بداخم	meros
morphin	مرفین	morfan
morsel	لقمه؛ مضغه	morsel
mortal	فانی؛ هلاهل	mortel
mortality	میرش؛ مرگومیر	mortaliti
mortar	ساروج؛ هاون	morter
mortgage	رهن	morgaj / morgij
mortification	ریاضت	mortafkeyshen
mortify	ریاضت دادن	mortifai
mosaic	بهم پیوستن	mozeyik
moscow	مسکو	maasko / moskau
mosque	مسجد	maask / mosk
moss	خزه؛ پژه	mos
most	بیشتر	most / mos
mostly	بیشتر اوقات	mostli / mosli
mother	مادر	madher
motherland	میهن و؛ مادر میهن	madherland
motherly	مادرانه؛ مادروار	madherli
motif	موتیف؛ مایه اصلی	motif
motile	قادر بحرکت؛ قادر بجنبش	motel
motion	حرکت	moshen
motionless	بی حرکت؛ بی جنبش	moshenlas
motivate	انگیزه دادن	motaveyt
motivation	انگیزه	motaveyshen
motive	انگیزه	motiv
motor	موتور	moter
motorcycle	موتورسیکلت	motersaikel
motorist	راننده	moterist
motto	نصبالعین؛ سخن زبده	maato
mould	کپک؛ قالب کردن	mold
mound	پشته؛ خرپشته	maund
mount	سوار کردن؛ سوار شدن	maunt
mountain	کوه	mauntan
mountainous	کوهی؛ کوهستانی	mauntanas
mourn	ماتمگرفتن؛ نوحه کردن	morn
mournful	عزادار؛ سوگوار	mornfel
mouse	موش	maus
mouth	دهان	mauth
mouthpiece	سرنی	mauthpis
movable	متحرک	muvabel
move	حرکت کردن	muv
movement	جنبش، حرکت	muvmant
movie	فیلم	muvi
moving	متحرک، تأثیرگذار	muving
mr	آقا؛ عنوان خطاب مردان	mister
mrs	خانم	misiz
much	زیاد	mach
mucous	مخاطی	myukas
mucus	بلغم؛ خلط	myukas
mud	گل؛ طین	mad
muddy	گلی؛ گلزار	madi
mug	ساده لوح	mag
mule	استر	myul
multiple	مضاعف؛ متعدد	maltapel
multiplication	ضرب؛ تکثیر	maltaplakeyshen
multiplicity	تعدد	maltaplisiti
multiply	تکثیر کردن؛ ضرب زدن	maltaplai
multitude	انبوه؛ گروه بسیار	maltatud / maltatyud
mum	مامان	mam
mumbling	من من	mambaling / mambling
mummy	مومیایی	mami
mundane	دنیوی	mandeyn
municipal	شهری	myunisapel
municipality	شهرداری؛ بلدیه	myunisapaliti
murder	قتل؛ کشتن	merder
murderer	قاتل؛ آدم کش	merderer
murderous	خونریز	merderas
murmur	زمزمه؛ شرشر کردن	mermer
muscle	ماهیچه؛ عضله	masel
muscular	عضلانی؛ پرعضله	maskyaler
museum	موزه	myuziam
mushroom	سماروغ	mashrum
music	موسیقی	myuzik
musical	موسیقایی	myuzikel
musician	موسیقیدان	myuzishen
muslin	ململ	mazlan
must	باید (فعل کمکی)	mast
mustache	سبیل	mastash
mustard	خردل؛ درخت خردل	masterd
musty	بوی ناگرفته	masti
mutation	جهش	myuteyshen
mute	صامت؛ لال	myut
mutter	ورور کردن؛ من من	mater
mutual	متقابل	myuchuel
mutually	متقابلا؛ مانعهالجمع	myuchuali
muzzle	پوزه؛ پوزبند	mazel
my	مال من	mai
myself	خودم	maiself
mysterious	غیب؛ مرموز	mistirias
mysteriously	به‌طور اسرارآمیز	mistiriasli / mistiryasli
mystery	رمز؛ راز	misteri
mystic	عارف؛ صوفی	mistik
mystical	عارفانه؛ صوفیانه	mistikel
mysticism	درویشی؛ تصوف	mistisizam
myth	اسطوره	mith
mythology	اسطوره شناسی؛ علم اساطیر	mathaalaji
na	جنب؛ سینمایی	naa
nag	نق زدن؛ نق نقو	nag
nail	میخ؛ ناخن	neyl
naive	زودباور؛ ساده دل	naiiv
naivete	زودباوری؛ ساده دلی	naaivatey
naked	برهنه	neykad
name	نام، نامیدن	neym
namely	یعنی	neymli
namesake	همنام؛ هم اسم	neymseyk
nap	چرت؛ خواب کوتاه	nap
napkin	دستمال؛ سینه بند	napkin
naples	ناپل	neypalz
narrate	نقل کردن؛ حکایت کردن	nereyt
narration	نقل؛ نقالی	nereyshen
narrative	روایت؛ نقلی	narativ / nerativ
narrator	گوینده؛ راوی	nereyter
narrow	باریک	nero / naro
nasal	تو دماغی	neyzel
nascent	درحال تولد	neysant
nashville	نشویل	nashvil
nasty	ناخوشایند	nasti
natal	تولدی؛ مولودی	neytel / nataal
nation	ملت؛ کشور	neyshen
national	ملی	nashenel / nashnel
nationalism	ناسیونالیزم؛ ملت پرستی	nashenalizam
nationalist	ناسیونالیست؛ ملت دوست	nashenalast / nashenalist
nationality	ملیت؛ قومیت	nashenaliti
nationwide	سراسری	neyshenwaid
native	محلی؛ بومی	neytiv
natural	طبیعی	nacherel / nachrel
naturally	طبیعتاً؛ به‌طور طبیعی	nacherali / nachrali
nature	طبیعت	neycher
naughty	بلا؛ شریر	noti
nausea	تهوع؛ آشب	nozia
naval	دریایی	neyvel
navigable	قابل کشتیرانی	navagabel
navigation	ناوبری	navageyshen
navy	بحریه؛ کشتی جنگی	neyvi
near	نزدیک	nir
nearby	نزدیک	nirbai
nearly	تقریباً	nirli
neat	مرتب	nit
neatness	نظافت	nitnas
nebraska	نبراسکا	nabraska
nebulous	شبیه سحاب	nebyalas
necessarily	لابد؛ لزوما	nesaserali
necessary	ضروری	nesaseri
necessitate	اقتضاء کردن؛ ایجاب کردن	nasesateyt
necessity	ضرورت	nasesiti
neck	گردن	nek
necklace	عقد؛ طوق	neklas
necrosis	بافت مردگی؛ موت موضعی	nakrosas
nee	نامیده شده	ni
need	نیاز؛ نیاز داشتن	nid
needful	محتاج	nidfel
needle	سوزن	nidel
needless	مستغنی؛ بی نیاز	nidlas
needy	مستمند؛ نیازمند	nidi
negation	نفی	nageyshen
negative	منفی	negativ
neglect	غفلت کردن، غفلت	naglekt / niglekt
negligence	غفلت؛ اهمال	neglajans / neglijans
negligent	غافل؛ فروگذار	neglajant / neglijant
negligible	قابل فراموشی	neglajabel / neglijabel
negotiate	مذاکره کردن	nagoshieyt / nigoshieyt
negotiation	مذاکره	nigoshieyshen
negotiator	مذاکره کننده	nagoshieyter / nigoshieyter
negro	زنگی؛ سیاه پوست	nigro
neighbor	همسایه	neyber
neighborhood	مجاورت؛ همسایگی	neyberhud
neighbour	همسایه	neyber
neighbourhood	حوالی	neyberhud
neighbouring	همسایه	neybering
neither	هیچ یک (از دو)	nidher / naidher
nephew	خواهرزاده؛ برادر زاده	nefyu
nerve	عصب؛ جرئت	nerv
nervous	عصبی	nervas
nervousness	عصبانیت؛ عصبیت	nervasnas
nest	لانه	nest
net	خالص	net
network	شبکه	netwerk
neuron	یاخته عصبی	nuraan
neutral	بی‌طرف	nutrel
neutrality	بیطرفی؛ نادرگیری	nutraliti
nevada	نوادا	navaada / navada
never	هرگز	never
nevertheless	باوجوداین؛ لهذا	neverdhales
new	جدید	nu / nyu
newcomer	نورسیده؛ نوآیند	nukamer
newly	به تازگی	nuli
newness	حداثت؛ بداعت	nunas
news	اخبار	nuz / nyuz
newsletter	خبرنامه	nuzleter
newspaper	روزنامه	nuzpeyper
newton	نیوتن	nutan
next	بعدی	nekst / neks
next to	کنار	nekst / neks tu / ti
nice	خوب، زیبا	nais / nis
nicely	بخوبی	naisli
niche	موقعیت مناسب، طاقچه	nich
nickel	نیکل؛ آب نیکل دادن	nikel
nickname	کنیه؛ اسم فرعی	nikneym
niece	خواهرزاده؛ برادر زاده	nis
night	شب	nait
nightfall	شبانگاه	naitfol
nightly	شبانه؛ هر شب	naitli
nightmare	کابوس؛ بختک	naitmer
nighttime	شبانگه	naittaim
nimble	چابک؛ چالاک	nimbel
nimrod	نمرود	nimraad
nine	نه	nain
nineteen	نوزده	naintin
ninety	نود	nainti
ninth	یک نهم؛ درنهمین درجه	nainth
nip	زخمنیشگون؛ دردناک بودن	nip
nipper	فندق شکن	niper
nipple	پستانک؛ نوک پستان	nipel
nitrate	شوره	naitreyt
nitrogen	نیتروژن؛ ازت	naitrajan
no	نه، هیچ	no
nobility	نجابت؛ نجبا	nobiliti
noble	نجیب	nobel
nobleman	نجیب زاده	nobalman
nobody	هیچ کس	nobaadi / nobadi
nocturnal	شبانه؛ شبانگاهی	naakternel
nod	سر تکان دادن	naad
node	گره	nod
nodular	گره دار؛ قلنبه شده	naajaler
